,official_name,modified_name,original_name,ror_id,geoname_city_id
0,Massachusetts General Hospital,MASSACHUSETTS GENERAL HOSPITAL,MASSACHUSETTS GENERAL HOSPITAL,https://ror.org/002pd6e78,4930956
1,Harvard Medical School,HARVARD MEDICAL SCHOOL,HARVARD MEDICAL SCHOOL,https://ror.org/03wevmz92,4930956
2,Brigham and Women's Hospital,BRIGHAM AND WOMEN'S HOSPITAL,BRIGHAM AND WOMEN'S HOSPITAL,https://ror.org/04b6nzv94,4930956
3,"University of California, San Diego","UNIVERSITY OF CALIFORNIA, SAN DIEGO","UNIVERSITY OF CALIFORNIA, SAN DIEGO",https://ror.org/0168r3w48,5391811
4,Yale University,YALE UNIVERSITY,YALE UNIVERSITY,https://ror.org/03v76x132,4839366
5,The University of Texas Health Science Center at Houston,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,https://ror.org/03gds6c39,4699066
6,Virginia Commonwealth University,VIRGINIA COMMONWEALTH UNIVERSITY,VIRGINIA COMMONWEALTH UNIVERSITY,https://ror.org/02nkdxk79,4781708
7,University of Michiganâ€“Ann Arbor,UNIVERSITY OF MICHIGAN ANN ARBOR,UNIVERSITY OF MICHIGAN AT ANN ARBOR,https://ror.org/00jmfr291,4984247
8,The Ohio State University,OHIO STATE UNIVERSITY,OHIO STATE UNIVERSITY,https://ror.org/00rs6vg23,4509177
9,"Nanomaterial Innovation, Ltd","NANOMATERIAL INNOVATION, LTD","NANOMATERIAL INNOVATION, LTD",,4509177
10,"University of California, Davis",UNIVERSITY OF CALIFORNIA DAVIS,UNIVERSITY OF CALIFORNIA AT DAVIS,https://ror.org/05rrcem69,5341704
11,University of Louisville,UNIVERSITY OF LOUISVILLE,UNIVERSITY OF LOUISVILLE,https://ror.org/01ckdn478,4299276
12,Johns Hopkins University,JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY,https://ror.org/00za53h95,4347778
13,"University of California, Los Angeles",UNIVERSITY OF CALIFORNIA LOS ANGELES,UNIVERSITY OF CALIFORNIA LOS ANGELES,https://ror.org/046rm7j60,5368361
14,Duke University,DUKE UNIVERSITY,DUKE UNIVERSITY,https://ror.org/00py81415,4464368
15,University of Pennsylvania,UNIVERSITY OF PENNSYLVANIA,UNIVERSITY OF PENNSYLVANIA,https://ror.org/00b30xv10,4560349
16,Arizona State University,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,https://ror.org/03efmqc40,5317058
17,Harry S. Truman Memorial Veterans' Hospital,HARRY S. TRUMAN MEMORIAL HOSPITAL,HARRY S. TRUMAN MEMORIAL VA HOSPITAL,https://ror.org/01a4gqp27,4381982
18,University of Washington,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON,https://ror.org/00cvxb145,5809844
19,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey",RUTGERS BIOMEDICAL AND HEALTH SCIENCES,https://ror.org/05vt9qd57,5101717
20,Monell Chemical Senses Center,MONELL CHEMICAL SENSES CENTER,MONELL CHEMICAL SENSES CENTER,https://ror.org/01mdfdm06,4560349
21,New York University School of Medicine,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,https://ror.org/05wthjx48,5128581
22,Pennsylvania State University,PENNSYLVANIA STATE UNIVERSITY,"PENNSYLVANIA STATE UNIVERSITY, THE",https://ror.org/04p491231,5213681
23,University of Florida,UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA,https://ror.org/02y3ad647,4156404
24,Inter Tribal Council of Arizona,INTER TRIBAL COUNCIL OF ARIZONA,"INTER TRIBAL COUNCIL OF ARIZONA, INC.",https://ror.org/03v1z6488,5308655
25,Columbia University Irving Medical Center,COLUMBIA UNIVERSITY IRVING,COLUMBIA UNIVERSITY HEALTH SCIENCES,https://ror.org/01esghr10,5128581
26,University of Miami,UNIVERSITY OF MIAMI,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,https://ror.org/02dgjyy92,4151871
27,University of Miami,University of Miami,UNIVERSITY OF MIAMI CORAL GABLES,https://ror.org/02dgjyy92,4151871
28,Weill Cornell Medicine,WEILL CORNELL MEDICINE,WEILL MEDICAL COLL OF CORNELL UNIV,https://ror.org/02r109517,5128581
29,University of Kentucky,UNIVERSITY OF KENTUCKY,UNIVERSITY OF KENTUCKY,https://ror.org/02k3smh20,4297983
30,University of North Carolina at Chapel Hill,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,UNIV OF NORTH CAROLINA CHAPEL HILL,https://ror.org/0130frc33,4460162
31,Missouri Department of Health and Senior Services,MISSOURI DEPARTMENT OF HEALTH AND SENIOR SERVICES,MISSOURI STATE DEPT/ HEALTH & SENIOR SRV,https://ror.org/041qkag73,4392388
32,Louisiana State University,LOUISIANA STATE UNIVERSITY,LOUISIANA STATE UNIV A&M COL BATON ROUGE,https://ror.org/05ect4e57,4315588
33,University of Illinois Urbana-Champaign,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,https://ror.org/047426m28,4914570
34,Emory University,EMORY UNIVERSITY,EMORY UNIVERSITY,https://ror.org/03czfpz43,4180439
35,Washington University in St. Louis,WASHINGTON UNIVERSITY,WASHINGTON UNIVERSITY,https://ror.org/01yc7t268,4407066
36,Clemson University,CLEMSON UNIVERSITY,CLEMSON UNIVERSITY,https://ror.org/037s24f05,4574989
37,General Electric (United States),GENERAL ELECTRIC UNITED STATES,GENERAL ELECTRIC GLOBAL RESEARCH CTR,https://ror.org/013msgt25,4930956
38,"Rutgers, The State University of New Jersey",STATE UNIVERSITY OF NEW JERSEY RUTGERS,RBHS-NEW JERSEY MEDICAL SCHOOL,https://ror.org/05vt9qd57,5101717
39,Cornell University,CORNELL UNIVERSITY,CORNELL UNIVERSITY,https://ror.org/05bnh6r87,5122432
40,CHILDREN'S NATIONAL RESEARCH INSTITUTE,CHILDREN'S NATIONAL RESEARCH INSTITUTE,CHILDREN'S RESEARCH INSTITUTE,,4140963
41,"University of California, San Francisco","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",https://ror.org/043mz5j54,5391959
42,University of Connecticut,UNIVERSITY OF CONNECTICUT,UNIVERSITY OF CONNECTICUT STORRS,https://ror.org/02der9h97,4843786
43,Wadsworth Center,WADSWORTH CENTER,WADSWORTH CENTER,https://ror.org/050kf9c55,5106834
44,Connecticut Children's Medical Center,CONNECTICUT CHILDREN'S MEDICAL CENTER,CONNECTICUT CHILDREN'S MEDICAL CENTER,https://ror.org/01a1jjn24,4835797
45,Central Michigan University,CENTRAL MICHIGAN UNIVERSITY,CENTRAL MICHIGAN UNIVERSITY,https://ror.org/02xawj266,5002714
46,University of New Orleans,UNIVERSITY OF NEW ORLEANS,LOUISIANA STATE UNIV-UNIV OF NEW ORLEANS,https://ror.org/034mtvk83,4335045
47,Penn State Milton S. Hershey Medical Center,HERSHEY MEDICAL CENTER,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,https://ror.org/01h22ap11,5193342
48,Baylor College of Medicine,BAYLOR COLLEGE OF MEDICINE,BAYLOR COLLEGE OF MEDICINE,https://ror.org/02pttbw34,4699066
49,Hospital for Sick Children,HOSPITAL FOR SICK CHILDREN,HOSPITAL FOR SICK CHLDRN (TORONTO),https://ror.org/057q4rt57,6167865
50,"Atom Bioworks, Inc.","Atom Bioworks, Inc",ATOM BIOWORKS INC,,4459467
51,"MPOD, Inc","MPOD, Inc.","MPOD, INC.",,4360369
52,"Quicksilver Biosciences, Inc.","Quicksilver Biosciences, Inc.","QUICKSILVER BIOSCIENCES, INC.",,5128581
53,Columbia University,COLUMBIA UNIVERSITY,COLUMBIA UNIV NEW YORK MORNINGSIDE,https://ror.org/00hj8s172,5128581
54,"Aerosol Devices, Inc.","Aerosol Devices, Inc.","AEROSOL DEVICES, INC.",,7173444
55,"InnoTech Precision Medicine, Inc","InnoTech Precision Medicine, Inc",INNOTECH LLC,,4930956
56,Children's Hospital of Philadelphia,CHILDREN'S HOSPITAL OF PHILADELPHIA,CHILDREN'S HOSP OF PHILADELPHIA,https://ror.org/01z7r7q48,4560349
57,Stanford University,STANFORD UNIVERSITY,STANFORD UNIVERSITY,https://ror.org/00f54p054,5398563
58,Washington State University,WASHINGTON STATE UNIVERSITY,WASHINGTON STATE UNIVERSITY,https://ror.org/05dk0ce17,5807540
59,"University of California, Santa Barbara",UNIVERSITY OF CALIFORNIA SANTA BARBARA,UNIVERSITY OF CALIFORNIA SANTA BARBARA,https://ror.org/02t274463,5392952
