dbgapAccession,coreProjectNum,studyInvestigator,profileId,projectSerialNum,isContactPi,fiscalYear,grantPi,fullName,firstName,middleName,lastName,isPi,isDepositor,name
phs002964.v1.p1,U01DC019579,Albers M,6625336,DC019579,True,2022,Albers MW,Mark W Albers,Mark,W,Albers,True,False,Albers MW
,R61HD105593,,2563052,HD105593,False,2022,Allen CE,Carl E Allen,Carl,E,Allen,True,False,Allen CE
phs002585.v1.p1,R61HD105593,Annapragada A,7039414,HD105593,True,2022,Annapragada AV,Ananth V Annapragada,Ananth,V,Annapragada,True,False,Annapragada AV
,U24LM013755,,10450719,LM013755,False,2023,Aronoff-Spencer ES,Eliah S Aronoff-Spencer,Eliah,S,Aronoff-Spencer,True,False,Aronoff-Spencer ES
,R33HD105594,,10320851,HD105594,False,2023,Bassiri H,Hamid  Bassiri,Hamid,,Bassiri,True,False,Bassiri H
phs002782.v1.p1,ZIAES103366,Bell D,6570860,ES103366,True,2023,Bell D,Douglas  Bell,Douglas,,Bell,True,False,Bell D
,U18TR003793,,11435055,TR003793,False,2022,Boland GM,Genevieve Marie Boland,Genevieve,Marie,Boland,True,False,Boland GM
phs002553.v1.p1,R61HD105590,Burns J,7989301,HD105590,True,2022,Burns JC,Jane C Burns,Jane,C,Burns,True,False,Burns JC
,U01DA053949,,77859447,DA053949,False,2022,Chandran K,Kartik  Chandran,Kartik,,Chandran,True,False,Chandran K
phs002781.v1.p1,R61HD105618,Chiu C,8667619,HD105618,True,2022,Chiu CY,Charles Yen Chiu,Charles,Yen,Chiu,True,False,Chiu CY
phs002700.v1.p1,U01AA029331,Cirrito J,8553912,AA029331,True,2022,Cirrito JR,John R Cirrito,John,R,Cirrito,True,False,Cirrito JR
,U01DA053976,,10833925,DA053976,True,2022,Conroy-Ben O,Otakuye  Conroy-Ben,Otakuye,,Conroy-Ben,True,False,Conroy-Ben O
,R61HD105591,,77871541,HD105591,False,2022,Dahdah N,Nagib  Dahdah,Nagib,,Dahdah,True,False,Dahdah N
phs002699.v1.p1,U01DC019578,Dalton P,1877373,DC019578,True,2023,Dalton PH,Pamela Helen Dalton,Pamela,Helen,Dalton,True,False,Dalton PH
phs003124.v1.p1,U18TR003780,Das S,10349485,TR003780,True,2022,Das S,Samarjit  Das,Samarjit,,Das,True,False,Das S
phs002600.v1.p1,U18TR003795,Davis C,2050145,TR003795,True,2022,Davis CE,Cristina Elizabeth Davis,Cristina,Elizabeth,Davis,True,False,Davis CE
,R61HD105618,,14135419,HD105618,False,2022,De Vlaminck I,Iwijn  De Vlaminck,Iwijn,,De Vlaminck,True,False,De Vlaminck I
,R61HD105618,,8717080,HD105618,False,2022,DeBiasi RL,Roberta Lynn DeBiasi,Roberta,Lynn,DeBiasi,True,False,DeBiasi RL
,R61HD105593,,6787050,HD105593,False,2022,Devaraj S,Sridevi  Devaraj,Sridevi,,Devaraj,True,False,Devaraj S
,R01MD016526,,9436729,MD016526,True,2023,Dillard DA,Denise A Dillard,Denise,A,Dillard,True,False,Dillard DA
phs002747.v1.p1,U18TR003812,Fan X,8485696,TR003812,True,2022,Fan X,Xudong  Fan,Xudong,,Fan,True,False,Fan X
phs002563.v1.p1,U18TR003787,Fu X,10807170,TR003787,True,2022,Fu X,Xiao-An  Fu,Xiao-An,,Fu,True,False,Fu X
,R61HD105619,,1861255,HD105619,False,2022,Gennaro ML,Maria Laura Gennaro,Maria,Laura,Gennaro,True,False,Gennaro ML
,U01DC019573,,7680168,DC019573,False,2021,Gerkin RC,Richard C Gerkin,Richard,C,Gerkin,True,False,Gerkin RC
,R61HD105591,,1913135,HD105591,False,2022,Giglia TM,Therese M Giglia,Therese,M,Giglia,True,False,Giglia TM
,R01DK130067,,1862771,DK130067,False,2023,Guo W,Wensheng  Guo,Wensheng,,Guo,True,False,Guo W
,U01LM013129,,7698522,LM013129,False,2022,Halden RU,Rolf U Halden,Rolf,U,Halden,True,False,Halden RU
,U01DA053976,,77858219,DA053976,False,2022,Hamilton K,Kerry  Hamilton,Kerry,,Hamilton,True,False,Hamilton K
,U01DC019573,,9451051,DC019573,False,2021,Hayes JE,John Edward Hayes,John,Edward,Hayes,True,False,Hayes JE
,R61HD105610,,14228211,HD105610,False,2022,Hicks SD,Steven Daniel Hicks,Steven,Daniel,Hicks,True,False,Hicks SD
,R61HD105619,,11457621,HD105619,False,2022,Horton DB,Daniel Benjamin Horton,Daniel,Benjamin,Horton,True,False,Horton DB
,U18TR003778,,9493483,TR003778,False,2022,Huang T,Tony Jun  Huang,Tony Jun,,Huang,True,False,Huang T
phs002588.v1.p1,U18TR003775,Johnson AC,8547915,TR003775,True,2022,Johnson AT,Alan T Johnson,Alan,T,Johnson,True,False,Johnson AT
phs002524.v1.p1,R01DE031114,Jokerst J,11288941,DE031114,True,2023,Jokerst JV,Jesse Vincent Jokerst,Jesse,Vincent,Jokerst,True,False,Jokerst JV
,U18TR003795,,7745756,TR003795,False,2022,Kenyon NJ,Nicholas J KENYON,Nicholas,J,Kenyon,True,False,Kenyon NJ
phs002570.v1.p1,R42DE030829,Khosravi-Far R,2191319,DE030829,True,2022,Khosravi-Far R,Roya  Khosravi-Far,Roya,,Khosravi-Far,True,False,Khosravi-Far R
,U18TR003778,,6951767,TR003778,False,2022,Kim Y,Yong  Kim,Yong,,Kim,True,False,Kim Y
phs002569.v1.p1,R61HD105619,Kleinman L,6601712,HD105619,True,2022,Kleinman LC,Lawrence C Kleinman,Lawrence,C,Kleinman,True,False,Kleinman LC
,R01DK130067,,9942278,DK130067,False,2023,Kotanko P,Peter  Kotanko,Peter,,Kotanko,True,False,Kotanko P
,R61HD105591,,10394059,HD105591,False,2022,Kutty S,Shelby  Kutty,Shelby,,Kutty,True,False,Kutty S
,R61HD105613,,1861871,HD105613,False,2022,Lawrence DA,David A Lawrence,David,A,Lawrence,True,False,Lawrence DA
,U18TR003807,,14417875,TR003807,False,2022,Lee I,Inyoul  Lee,Inyoul,,Lee,True,False,Lee I
,U18TR003807,,8892513,TR003807,False,2022,Lee LJ,Ly James Lee,Ly,James,Lee,True,False,Lee LJ
phs002702.v1.p1,R44DE030842,Ly J,78421272,DE030842,True,2022,Ly J,Jeffrey  Ly,Jeffrey,,Ly,True,False,Ly J
,R61HD105613,,2431709,HD105613,False,2022,Lynes MA,Michael A Lynes,Michael,A,Lynes,True,False,Lynes MA
phs002945.v1.p1,R61HD105591,Manlhiot C,16231045,HD105591,True,2022,Manlhiot C,Cedric  Manlhiot,Cedric,,Manlhiot,True,False,Manlhiot C
,U01DA053941,,10379550,DA053941,False,2022,Mason CE,Christopher Edward Mason,Christopher,Edward,Mason,True,False,Mason CE
,R61HD105591,,6763646,HD105591,False,2022,McCrindle BW,Brian W McCrindle,Brian,W,McCrindle,True,False,McCrindle BW
phs002631.v1.p1,U01DC019573,Munger S,6293772,DC019573,True,2021,Munger SD,Steven D Munger,Steven,D,Munger,True,False,Munger SD
,U18TR003787,,9972311,TR003787,False,2022,Nantz MH,Michael H Nantz,Michael,H,Nantz,True,False,Nantz MH
phs002729.v1.p1,U01DA053899,Noble R,10129440,DA053899,True,2022,Noble RT,Rachel Todd Noble,Rachel,Todd,Noble,True,False,Noble RT
phs002603.v1.p1,R33HD105594,Odom-John A,9198778,HD105594,True,2023,Odom John AR,Audrey Ragan Odom John,Audrey,Ragan,Odom John,True,False,Odom John AR
,U24LM013755,,1900244,LM013755,True,2023,Ohno-Machado L,Lucila  Ohno-Machado,Lucila,,Ohno-Machado,True,False,Ohno-Machado L
,U18TR003807,,9896788,TR003807,False,2022,Pancholi P,Preeti  Pancholi,Preeti,,Pancholi,True,False,Pancholi P
,U01DC019578,,16392635,DC019578,False,2023,Parma V,Valentina  Parma,Valentina,,Parma,True,False,Parma V
phs002573.v1.p1,U01AA029348,Peng L,77827345,AA029348,False,2023,Peng L,Lu  Peng,Lu,,Peng,True,False,Peng L
phs002543.v1.p1,U01AA029324,Potyrailo R,8857241,AA029324,True,2022,Potyrailo RA,Radislav A Potyrailo,Radislav,A,Potyrailo,True,False,Potyrailo RA
phs002565.v1.p1,U01AA029316,Pun S,8012149,AA029316,True,2022,Pun SH,Suzie H Pun,Suzie,H,Pun,True,False,Pun SH
phs002709.v1.p1,U18TR003807,Reategui E,12364332,TR003807,True,2022,Reategui E,Eduardo  Reategui,Eduardo,,Reategui,True,False,Reategui E
,R61HD105618,,12255899,HD105618,False,2022,Rostad CA,Christina Allen Rostad,Christina,Allen,Rostad,True,False,Rostad CA
,R61HD105593,,10046004,HD105593,False,2022,Rusin CG,Craig G Rusin,Craig,G,Rusin,True,False,Rusin CG
phs002744.v1.p1,U01AA029345,Salaita K,8668731,AA029345,True,2022,Salaita KS,Khalid S Salaita,Khalid,S,Salaita,True,False,Salaita KS
phs002609.v1.p1,R61HD105613,Salazar J,6786579,HD105613,True,2022,Salazar JC,Juan C Salazar,Juan,C,Salazar,True,False,Salazar JC
,U01DA053941,,9136437,DA053941,False,2022,Schurer SC,Stephan C Schurer,Stephan,C,Schurer,True,False,Schurer SC
phs002527.v1.p1,U01LM013129,Scotch M,8952899,LM013129,True,2022,Scotch M,Matthew  Scotch,Matthew,,Scotch,True,False,Scotch M
phs002549.v1.p1,R61HD105610,Sethuraman U,9832700,HD105610,True,2022,Sethuraman U,Usha  Sethuraman,Usha,,Sethuraman,True,False,Sethuraman U
,R44DE030841,,8656449,DE030841,False,2022,Shepard KL,Kenneth L Shepard,Kenneth,L,Shepard,True,False,Shepard KL
phs002551.v1.p1,R01MD016526,Sinclair KA,9717053,MD016526,True,2022,Sinclair KA,Ka'Imi Alohilani Sinclair,Ka'Imi,Alohilani,Sinclair,True,False,Sinclair KA
,U01AA029316,,11273504,AA029316,False,2022,Smith JR,Joshua R Smith,Joshua,R,Smith,True,False,Smith JR
phs002523.v1.p1,R01NR020105,Snyder M,1862128,NR020105,True,2023,Snyder MP,Michael P Snyder,Michael,P,Snyder,True,False,Snyder MP
phs002525.v1.p1,U01DA053941,Solo-Gabriele H,11165737,DA053941,True,2022,Solo-Gabriele H,Helena  Solo-Gabriele,Helena,,Solo-Gabriele,True,False,Solo-Gabriele H
phs002778.v1.p1,U18TR003793,Stott S,8956784,TR003793,True,2022,Stott SL,Shannon L Stott,Shannon,L,Stott,True,False,Stott SL
phs002642.v1.p1,R01DC016112,Travers S,1896926,DC016112,True,2021,Travers SP,Susan P Travers,Susan,P,Travers,True,False,Travers SP
phs002604.v1.p1,U01DA053949,Uhlemann A,9733196,DA053949,True,2022,Uhlemann A,Anne-Catrin  Uhlemann,Anne-Catrin,,Uhlemann,True,False,Uhlemann A
phs002546.v1.p1,U01AA029328,Vanegas D,77816868,AA029328,True,2022,Vanegas-Gamboa DC,Diana Carolina Vanegas-Gamboa,Diana,Carolina,Vanegas-Gamboa,True,False,Vanegas-Gamboa DC
,U01LM013129,,14431376,LM013129,False,2022,Varsani A,Arvind  Varsani,Arvind,,Varsani,True,False,Varsani A
,U18TR003807,,10938548,TR003807,False,2021,Wang K,Kai  Wang,Kai,,Wang,True,False,Wang K
,U01AA029348,,12225947,AA029348,True,2023,Wang X,Xing  Wang,Xing,,Wang,True,False,Wang X
phs002657.v1.p1,R01DK130067,Wang Y,2264716,DK130067,True,2023,Wang Y,Yuedong  Wang,Yuedong,,Wang,True,False,Wang Y
,U18TR003812,,8485057,TR003812,False,2022,Ward K,Kevin  Ward,Kevin,,Ward,True,False,Ward K
phs002679.v1.p1,U01DA053893,Wenzel J,77820001,DA053893,True,2022,Wenzel J,Jeff  Wenzel,Jeff,,Wenzel,True,False,Wenzel J
phs002544.v1.p1,U18TR003778,Wong D,6390810,TR003778,True,2022,Wong DT,David T Wong,David,T,Wong,True,False,Wong DT
,U18TR003778,,12081117,TR003778,False,2022,Xie Y,Ya-Hong  Xie,Ya-Hong,,Xie,True,False,Xie Y
,U24LM013755,,9603016,LM013755,False,2023,Xu H,Hua  Xu,Hua,,Xu,True,False,Xu H
phs002685.v1.p1,R44DE030852,Yao X,77861758,DE030852,True,2022,Yao X,Xiaohu  Yao,Xiaohu,,Yao,True,False,Yao X
phs002550.v1.p1,R44DE030841,Young E,9445541,DE030841,True,2022,Young EF,Erik F Young,Erik,F,Young,True,False,Young EF
,R61HD105610,,9502968,HD105610,False,2022,Zhu D,Dongxiao  Zhu,Dongxiao,,Zhu,True,False,Zhu D
phs002572.v1.p1,R42DE030832,Gordon T,,,,,,,,,,False,True,Gordon T
phs002542.v1.p1,U01DA053903,Keck JW,,,,,,,,,,False,True,Keck JW
phs002583.v1.p1,U01HL150852,DeMauro EP,,,,,,,,,,False,True,DeMauro EP
phs002924.v1.p1,U01HL152401,MacKenzie D,,,,,,,,,,False,True,MacKenzie D
phs002522.v1.p1,U01HL152410,Huang J,,,,,,,,,,False,True,Huang J
phs002561.v1.p1,U54HL119145,Shafiee H,,,,,,,,,,False,True,Shafiee H
phs002602.v1.p1,U54HL119145,Unlu S,,,,,,,,,,False,True,Unlu S
