id,name,presenters,presentationUrl,videoUrl
ae27baf31f88698080a13283b977faf3,Longitudinal smell testing to detect SARS-CoV-2 infection,Mark Albers,,
962bcba40d8ae53eb9f6adfa92e476de,"The ArOMa-T, a tool for rapid, adaptive testing of olfactory thresholds",John Hayes,,
78e761fdd29e4c8a1435e1bd0fd35a6e,Confectionary-based screening tool to assess chemosensory loss in COVID-19 patients,Christopher Simons,,
006458e5ddfa0299c0c5310106b61ce8,SCENTinel and other screening tools for remote testing,Pamela Dalton,,
cf197e5a369f99145e525699089439fb,COVID-19 detection through scent analysis with a compact GC device,Xudong Fan,,
41d9821dc51fbf7d26d14dc4ac2a0d54,A portable breath analyzer system to screen for SARS-CoV-2 infection,Xiao-An Fu,,
b34c0f79e57273e641c23e7d0bbb1260,Breath volatile organic compounds (VOCs) for COVID-19 diagnostics,Cristina Davis,,
86b10ec18eb309bd09ed0638ad6d9c00,"Using rapid, self-administered testing to assess chemosensory function",John Hayes,,
002020d8308198d8e23841d67a2edb0d,Longitudinal At Home Remote Olfactory Testing to Detect SARS-CoV2,Mark Albers,,
a23b1fda417d14d96568b59149b581db,A Confectionary-based Screening Tool for Assessing Chemosensory Loss in COVID-19 Patients,Susan Travers,,
196b5e9e60db4a56653e5bfe4088ff6c,"SCENTinel: A multi-function, rapid olfactory test for universal chemosensory screening",Pam Dalton,,
2f6ce5a27dc0873adb8aee54a031f864,Recognize: POC Multiomic in Under 30 Min *Novel Biosensing and Volatile Organic Compounds,Roya Khosravi-Far,,
7b1273c98d51747cf3ff3517d0902ace,AFS/SERS Saliva-based SARS-CoV-2 Earliest Infection and Antibodies Detection,David Wong,,
87c52f38de7c103cec4136e7d9f0dfef,Microfluidic Detection of SARS-CoV-2 and Virus-Related Extracellular Vesicles to Predict Outcome in COVID-19 Patients,Daniel Rabe,,
afbf97d05cd5222b18e70e20a76eea03,Multi-parametric Integrated Molecular Detection of SARS-CoV-2 from Biofluids by Adapting Single Exosome Characterization Technologies,Truc Nguyen,,
447c9ff722838ff46f88755f6b6c6033,Saliva Based Comprehensive Respiratory Pathogen Detection,Samarjit Das,,
0b3a9f88141569ab51fa2a002f7d0dc8,Developing a digital array PCR system for simultaneous quantification of 20+ pathogens from a single wastewater sample,Rachel Noble,,
a5f169b21d92d017f8c6a2cab4a20607,Wastewater surveillance uncovers regional diversity and dynamics of SARS-CoV-2 variants across nine states in the USA,Matthew Scotch,,
e37e6d0a5606a8d09e56c1f12909c4de,Missouri sewershed surveillance project and how to get the most information from your sample,Marc Johnson,,
e496deec48c9ecd440fe1c99cb51748e,Wastewater Assessment for Coronavirus in Kentucky: Implementing Enhanced Surveillance Technology,Scott Berry,,
00acfead28f382d8640dcdca2449a8e1,Establishing environmental metatranscriptomics standards to inform public health policy decisions,Helena Solo-Gabriele|Stephan Schurer|Christopher Mason,,
05443495855af318d806a203c1309b36,Optimizing SARS-CoV-2 wastewater based surveillance in urban and university campus settings,Medini Annavajhala,,
ebe96494e5e7677f5599a97573c25657,Wastewater Analysis of SARS-CoV-2 in Tribal Wastewater,Otakuye Conroy-Ben|Rolf Halden|Kerry Hamilton,,
7217db25215aa422371b0bdf98dd4e85,Early detection of COVID-19 in dialysis facilities using multi-modal data sources,Yuedong Wang,,
1aa3358df5557548113ed2959ca60737,Moana: Alternative Surveillance of COVID-19 in a Unique Population (MASC-UP),Erin Morgan,,
f7fe65ac42fc9263cd49d36532f9af09,Validation of Smart Masks for Surveillance of COVID-19,Jesse Jokerst,,
92df32fb144dced48bd770579d61f8a3,Deep Data Needs and Challenges in Precision Health,Amir Bahmani,,
eb467dd4067d74d835df24b2ad5cfb24,Data Core Highlights,Hua Xu,,
6ad53abe568f13e34747e71d3079d5fe,Diagnostic Core Highlights ,Eliah Aronoff-Spencer,,
27965fe9f1b0fd6acac6c2cb47acdf38,NIH RADx Data Hub resources and additional funding opprotunites for data secondary use,Lucy Hsu,,
7e0580a4189d472309d72eaa831049ea,Targeting Trimeric Surface Proteins for Rapid and Ultrasensitive Detection of Viruses,Mahmoud Nasr,,
3ddb29962d0659f92cbfdfbd02141cb8,Digital Detection: Counting pathogens for high-sensitivity quantification of viral load,Selim Unlu,,
5d88f5e3e0450d882adf990d13fc8ed7,BubbleChip: Sensitive Home-based Diagnostic,Joseph Hardie,,
9b26f7364ff70280b9e12072fb518587,A Rapid Breathalyzer Diagnostic Platform for COVID-19,Edward DeMauro,,
982f2b070830a8bb88ace0042d0100db,A Novel Aptamer-based Lateral Flow Assay to Detect SARS-CoV-2 ,Meenakshi Ranasinghe,,
2c34e78546e77e0651b98dc39a408e13,"Rapidly deployable, compact detection platform using CNTFETs functionalized with computationally derived molecular probes",Devin MacKenzie,,
44353faa32c1a1ecc489b32fc4851cbb,A Novel Breath Analyzer Probe for the Real-Time Survey of Healthy and Compromised Lung Function Through Breath Matter Content,Jie Huang,,
f10c31d02026ef92e1edd49fbd367226,A scalable aptamer-based electrochemical biosensor for rapid detection of SARS--Cov-2 from Saliva,Jeffrey Ly,,
b6b8f7ca10124e84ba0f341975738f2b,Quicksilver Biosciences:  Single-molecule bioelectronics for SARS-CoV-2 detection,Erik Young,,
731c1d9639bf03564d9f05641df87686,Severity Predictors integrating salivary transcriptomics and proteomics with multineural network intelligence in SARS-CoV-2 infections in children (SPITS MISC),Steve D Hicks,,
c631a37fe6ff79589981f553a64eca2b,Identifying biomarker signatures of prognostic value for Multisystem Inflammatory Syndrome in Children (MIS-C),Juan Salazar,,
e6a529eee0f09e967a984494fc99ec7d,COVID-19 Network of Networks Expanding Clinical and Translational Approaches to Predict Severe Illness in Children,Lawrence Kleinman,,
5b90222005205bd75d2a75308fbd4314,Diagnosis of MIS-C in Febrile Children,Audrey R Odom-John,,
6c7d46df46e4a20d9fd6d5a078e22ec9,AICORE-kids: Artificial Intelligence COVID-19 Risk AssEssment for kids,Sridevi Devaraj,,
3ee3a3711ced0ab245585cc56117d891,Discovery and clinical validation of host biomarkers of disease severity Multi-System Inflammatory Syndrome in Children (MIS-C) with COVID-19,Christina Rostad,,
bbac2ed401cd105e980bd7b3d7f59858,MISKD: An AI-based predictive CDSS for the diagnosis and management of patients with KD/MISC,Cedric Manlhiot,,
8bb0200bf8e8266e35a908167c1ef4ce,KIDMATCH: A Clinical Decision Support Tool for Diagnosing MIS-C/KD in the Emergency Department,Jonathan Lam,,
3a8286520d439288838476ef0a391040,Detection and automatic privacy-protected contact tracing system designed for COVID-19,Han K Lee,,
18faea611e34e8d55ff6195a443b82d9,"Touchscreen-compatible, Real-Time Electrochemical Sensing of SARS-CoV-2",Suzie Pun|Bo Zhang|Josh Smith,,
cdb034a81017e7d3eab2289f454a2dff,Minimal False-alarm Touch-based Detection of SARS-Cov-2 Virus Particles using Poly-aptamers,Radislav Potyrailo,,
97620909eed255aa412fcfd6a748b09e,Rolosense: An Innovative Platform for Automatic Mobile Phone Readout of Active SARS-CoV-2 Particles,Khalid Salaita,,
526cb764deeea462872ecb79eeaafc58,Detecting aerosolized SARS-CoV-2 in breath,John Cirrito,,
1f2d71c0660800877267bf752e45fec0,Multireceptor-based electrochemecal detection of SARS-CoV-2 in Saliva,Geisianny Moreira,,
b4192e909276ab53005f914ff39c1b05,CURIEs,Anya Dabic|John Graybeal|Peter W Rose,https://drive.google.com/file/d/1M6asQKvFhc6G8cA2AvQiuWoIfa1UVgre/view?usp=sharing,https://youtu.be/ds5sUex0Qy8?si=eDhZp8xt2p8t799a
b9d509ade283378684b68a744b48caa5,Correlative analysis of wastewater trends with clinical cases and hospitalizations through five dominant variant waves of COVID-19,Q Zhan|HM Solo-Gabriele|ME Sharkey|A Amirali|CC Beaver|MM Boone|S Comerford|D Cooper|EM Cortizas|GA Cosculluela|B Currall|GS Grills|E Kobetz|N Kumar|J Laine|WE Lamar|J Lyu|CE Mason|BD Reding|MA Roca|SC Schürer|B Shukla|N Schaefer-Solle|M Suarez|M Stevenson|JJ Tallon-Jr|C Thomas|D Vidovic|SL Williams|X Yin|Y Zarnegarnia|K Babler,,
b8fcc0cd336b7a17226ae6fcfd02db68,RADx-rad De-identification Method,Xiaoqian Jiang,https://drive.google.com/file/d/1oa_F-zvriPaC6xzCCoUcJSD7NSmZfUeg/view?usp=sharing,https://www.youtube.com/watch?v=Ivo55f_DZ1E
ae3137a5e86c95b3dd311a76c3cc021d,Are you In or Out(patient)?: A Geospatial Analysis of Subjects Enrolled in a COVID-19 Biorepository,N Schulman|A Adams|KW Herbst|JC Salazar|AH Hogan,,
f5a001234a4fcb3ea1f6ee00c190a502,Effect of Social Media on Patient Enrollment for a Study Examining COVID-19,C DeFelice|KW Herbst|C Porcaro|N Schulman|JC Salazar|CL Carroll|AH Hogan,,
b28d049aad1d4c414da0f8926433d477,"Comparing the Salivary Microbiomes of Children with Pediatric COVID-19, MIS-C, and Controls from the USA and Colombia",B O’Sullivan|KW Herbst|AH Hogan|N Schulman|C Porcaro|M Maltz-Matyschsyk|JD Radolf|MA Lynes|JC Salazar|J Graf,,
5f2a879f6c8c6c188f45f982fcda03cb,Existing and emerging privacy challenges and solutions for federated data coordination,Tsung-Ting Kuo,,
a876a658524128cbcb8321f0074459eb,Viral Source Tracking: Down to a Single Toilet,Marc Johnson,,
a816c2763970ac6abc92b8e089b3f6ed,Data Standards and Informatics Infrastructure to Facilitate Effective Surveillance of COVID-19 Outbreaks: Towards a Global Alert and Response Network,Stephan Schürer,,
08aa500a2482b43246157873aabeeb7f,NIH RADx-rad Wastewater Detection of SARS-CoV-2 Initiative,Tamara Slipchenko,,
feee4d698525fb0b79ab734a62633b9d,Refections from RADx-rad Wastewater-based Epidemiologic Studies and Potential Future Directions,Helena Solo-Gabriele,,
3202caa000fce8ca6107fcbfe334377e,Utility of Wastewater-Based Epidemiology to Detect Multiple Human Pathogens,Mark Sharkey,,
6ceb1dd1de854dd44c4d21244ede16e7,"Environmental SARS-CoV-2 and COVID-19 Predictin at Local, Regional, and National Scales",Naresh Kumar,,
449a3c56846dc7f3d1332766488d201d,"SF-RAD Data Standards and Informatics Infrastructure to Support Data Collection, Harmonization, and Sharing for Effective Surveillance of COVID-19 Outbreaks",Dusica Vidovic,,
3c5aea01250659e764dc36ada21c106b,Influence of Meterological Conditions and Water Characteristics on SARS-CoV-2 Concentration in Wastewater,Samantha Abelson,,
532b00f9324146015d081b0a124cb896,Wastewater-Based Epidemiology as a Strategy for Tracking and Tracing COVID-19 on a University Campus,Collete Thomas|Matthew Roca,,
2b38066263d90729e876fad44c63f3f7,Understanding the Influence of COVID-19 Testing Intensity on Wastewater-Based Epidemiology through Quantitative Analysis,Ayaaz Amirali,,
ba9a4143d0df5463e472cb18eaa6ff09,MetaSUB and it's journey from subways to global pathogen surveillance,Krista Ryon,,
d5490221be8a1b84899d3f8df3beb5c4,The Role of Shared Resources in Facilitating Human and Environmental Surveillance for SARS-CoV-2,George Grills,,
8fd8608bbe4813f494b26f8980d52ba1,DNA Isolation from Wastewater: Experimentation from a SARS-CoV-2 Optimized Workflow,Kristina Babler,,
e55f409fd6e3083ed984294a761e3306,Associations of Water Quality and Flow with SARS-CoV-2 RNA Levels in Wastewater,Erik Lamm,,
44fbc4b6151d1e350200b406d44d552f,Comparison of the salivary microbiome of children with COVID-19 and controls,B O’Sullivan|KW Herbst|AH Hogan|N Schulman|C Porcaro|M Maltz-Matyschsyk|J Radolf|MA Lynes|JC Salazar|J Graf,,
62fd74163cb87b922c288e64677db7fe,Development of a biomarker signature using grating coupled fluorescence plasmonic microarray for diagnosis of MIS-C,M Maltz-Matyschsyk|CK Melchiorre|KW Herbst|AH Hogan|K Dibble|B O’Sullivan|J Graf|A Jadhav|DA Lawrence|WT Lee|KJ Carson|JD Radolf|JC Salazar|MA Lynes,,
f7b1ab3223f0b07876da55574c346a78,Effect of Social Media on Patient Enrollment for a Study Examining COVID-19,AH Hogan|KW Herbst|C Porcaro|N Schulman|JC Salazar|CL Carroll,,
29585d9d8c2e4fd1b6eb06e1bfe8f4c0,Privacy and policy challenges in coordinating analyses of federated biomedical data across institutions,Xiaoqian Jiang|Tsung-Ting Kuo|Hua Xu|Lucila Ohno-Machado,,
f96a518d60ef96da2284d33618676401,Defining Clinical Phenotypes of COVID Viral Infections and Post-Viral Syndromes ,CL Carroll|AH Hogan|KW Herbst|C Porcaro|N Schulman|H El-Chebib|JC Salazar,,
7430b05ac272ae3b1fd7b6b8845443ea,Multisystem Inflammatory Syndrome in Children associated with COVID-19: A comparison study between cohorts from different geographic locations,C De-La-Cruz|AH Hogan|KW Herbst|DM Davalos|E Lopez-Medina|JC Salazar,,
513d9eab6760bac1a26bb72dd0f7c81b,A welcome to the RADx-rad Initiative and explanation on how the presentation and subsequent Q&A session will flow,Tara Schwetz,https://www.nih.gov/sites/default/files/research-training/initiatives/radx/20210308-RADx-rad-kickoff.pdf,
7cd8a7fb1a847b1cc10362e753e175ab,"An introduction to the RADx Initiatives and its four programs: RADx-rad, -UP, and Tech/ATP; as well as an explanation of coordination amongst the programs",Francis Collins,https://www.nih.gov/sites/default/files/research-training/initiatives/radx/20210308-RADx-rad-kickoff.pdf,
ffd853fd661288504f5596dd3d878daf,"A presentation on the overall goals, research interests, and organizational structure of the RADx-rad initiative",Judith Cooper|Patricia Powell,https://www.nih.gov/sites/default/files/research-training/initiatives/radx/20210308-RADx-rad-kickoff.pdf,
20c38883de9e16d6f56e321f17c21b61,A description of how RADx-rad projects can leverage RADxTech infrastructure,Bruce Tromberg,https://www.nih.gov/sites/default/files/research-training/initiatives/radx/20210308-RADx-rad-kickoff.pdf,
8449c7417c45e2423715d69ebd5c3693,A presentation on the plan for data management and CDEs across the RADx Initiative,Susan Gregurick|Patti Brennan,https://www.nih.gov/sites/default/files/research-training/initiatives/radx/20210308-RADx-rad-kickoff.pdf,
ae2034a5c361fe615332f1b88eb60add,"A presentation by the principal investigators of the RADx-rad Data Coordination Center (DCC) explaining its data management plan, structure, and resources; as well as the responsibilities of RADx-rad awardees in working with the DCC",Lucila Ohno-Machado|Hua Xu|Eliah Aronoff-Spencer,https://www.nih.gov/sites/default/files/research-training/initiatives/radx/20210308-RADx-rad-kickoff.pdf,
f80e8925df29ef8ebfc909b6ded68beb,An overview of FDA regulatory support available to RADx-rad awardees,Sara Brenner,https://www.nih.gov/sites/default/files/research-training/initiatives/radx/20210308-RADx-rad-kickoff.pdf,
