id,name,fullName,firstName,middleName,lastName
6625336,Albers MW,Mark W Albers,Mark,W,Albers
2563052,Allen CE,Carl E Allen,Carl,E,Allen
7039414,Annapragada AV,Ananth V Annapragada,Ananth,V,Annapragada
10450719,Aronoff-Spencer ES,Eliah S Aronoff-Spencer,Eliah,S,Aronoff-Spencer
10320851,Bassiri H,Hamid  Bassiri,Hamid,,Bassiri
6570860,Bell D,Douglas  Bell,Douglas,,Bell
10311819,Berry SM,Scott M Berry,Scott,M,Berry
11435055,Boland GM,Genevieve Marie Boland,Genevieve,Marie,Boland
7989301,Burns JC,Jane C Burns,Jane,C,Burns
77859447,Chandran K,Kartik  Chandran,Kartik,,Chandran
8667619,Chiu CY,Charles Yen Chiu,Charles,Yen,Chiu
8553912,Cirrito JR,John R Cirrito,John,R,Cirrito
10833925,Conroy-Ben O,Otakuye  Conroy-Ben,Otakuye,,Conroy-Ben
77871541,Dahdah N,Nagib  Dahdah,Nagib,,Dahdah
1877373,Dalton PH,Pamela Helen Dalton,Pamela,Helen,Dalton
10349485,Das S,Samarjit  Das,Samarjit,,Das
2050145,Davis CE,Cristina Elizabeth Davis,Cristina,Elizabeth,Davis
14135419,De Vlaminck I,Iwijn  De Vlaminck,Iwijn,,De Vlaminck
8717080,DeBiasi RL,Roberta Lynn DeBiasi,Roberta,Lynn,DeBiasi
6787050,Devaraj S,Sridevi  Devaraj,Sridevi,,Devaraj
9436729,Dillard DA,Denise A Dillard,Denise,A,Dillard
8485696,Fan X,Xudong  Fan,Xudong,,Fan
1897028,Fay WP,William P Fay,William,P,Fay
10807170,Fu X,Xiao-An  Fu,Xiao-An,,Fu
1861255,Gennaro ML,Maria Laura Gennaro,Maria,Laura,Gennaro
7680168,Gerkin RC,Richard C Gerkin,Richard,C,Gerkin
1913135,Giglia TM,Therese M Giglia,Therese,M,Giglia
1858811,Golan DE,David E Golan,David,E,Golan
7086603,Grant SA,SHEILA Ann GRANT,Sheila,Ann,Grant
1862771,Guo W,Wensheng  Guo,Wensheng,,Guo
7698522,Halden RU,Rolf U Halden,Rolf,U,Halden
7698522,Halden RU,Rolf U Halden,Rolf,U,Halden
77858219,Hamilton K,Kerry  Hamilton,Kerry,,Hamilton
9451051,Hayes JE,John Edward Hayes,John,Edward,Hayes
14228211,Hicks SD,Steven Daniel Hicks,Steven,Daniel,Hicks
6417303,Ho RJ,Rodney Jy Ho,Rodney,Jy,Ho
11457621,Horton DB,Daniel Benjamin Horton,Daniel,Benjamin,Horton
9493483,Huang T,Tony Jun  Huang,Tony Jun,,Huang
8547915,Johnson AT,Alan T Johnson,Alan,T,Johnson
11288941,Jokerst JV,Jesse Vincent Jokerst,Jesse,Vincent,Jokerst
15312069,Keady PB,Patricia Bea Keady,Patricia,Bea,Keady
7745756,Kenyon NJ,Nicholas J KENYON,Nicholas,J,Kenyon
2191319,Khosravi-Far R,Roya  Khosravi-Far,Roya,,Khosravi-Far
6951767,Kim Y,Yong  Kim,Yong,,Kim
6601712,Kleinman LC,Lawrence C Kleinman,Lawrence,C,Kleinman
9942278,Kotanko P,Peter  Kotanko,Peter,,Kotanko
10394059,Kutty S,Shelby  Kutty,Shelby,,Kutty
1861871,Lawrence DA,David A Lawrence,David,A,Lawrence
14417875,Lee I,Inyoul  Lee,Inyoul,,Lee
8892513,Lee LJ,Ly James Lee,Ly,James,Lee
9845089,Libutti SK,Steven K Libutti,Steven,K,Libutti
1876423,Loscalzo J,Joseph  Loscalzo,Joseph,,Loscalzo
78421272,Ly J,Jeffrey  Ly,Jeffrey,,Ly
2431709,Lynes MA,Michael A Lynes,Michael,A,Lynes
16231045,Manlhiot C,Cedric  Manlhiot,Cedric,,Manlhiot
10379550,Mason CE,Christopher Edward Mason,Christopher,Edward,Mason
6763646,McCrindle BW,Brian W McCrindle,Brian,W,McCrindle
6293772,Munger SD,Steven D Munger,Steven,D,Munger
9972311,Nantz MH,Michael H Nantz,Michael,H,Nantz
10129440,Noble RT,Rachel Todd Noble,Rachel,Todd,Noble
9198778,Odom John AR,Audrey Ragan Odom John,Audrey,Ragan,Odom John
1900244,Ohno-Machado L,Lucila  Ohno-Machado,Lucila,,Ohno-Machado
9896788,Pancholi P,Preeti  Pancholi,Preeti,,Pancholi
1891108,Panettieri RA,Reynold Alexander Panettieri,Reynold,Alexander,Panettieri
16392635,Parma V,Valentina  Parma,Valentina,,Parma
8614812,Parrish JA,John A Parrish,John,A,Parrish
6406851,Pasqualini R,Renata  Pasqualini,Renata,,Pasqualini
77827345,Peng L,Lu  Peng,Lu,,Peng
8857241,Potyrailo RA,Radislav A Potyrailo,Radislav,A,Potyrailo
8012149,Pun SH,Suzie H Pun,Suzie,H,Pun
12364332,Reategui E,Eduardo  Reategui,Eduardo,,Reategui
12255899,Rostad CA,Christina Allen Rostad,Christina,Allen,Rostad
10046004,Rusin CG,Craig G Rusin,Craig,G,Rusin
8668731,Salaita KS,Khalid S Salaita,Khalid,S,Salaita
6786579,Salazar JC,Juan C Salazar,Juan,C,Salazar
9136437,Schurer SC,Stephan C Schurer,Stephan,C,Schurer
8952899,Scotch M,Matthew  Scotch,Matthew,,Scotch
9832700,Sethuraman U,Usha  Sethuraman,Usha,,Sethuraman
8656449,Shepard KL,Kenneth L Shepard,Kenneth,L,Shepard
9717053,Sinclair KA,Ka'Imi Alohilani Sinclair,Ka'Imi,Alohilani,Sinclair
11273504,Smith JR,Joshua R Smith,Joshua,R,Smith
1862128,Snyder MP,Michael P Snyder,Michael,P,Snyder
11165737,Solo-Gabriele H,Helena  Solo-Gabriele,Helena,,Solo-Gabriele
8956784,Stott SL,Shannon L Stott,Shannon,L,Stott
1896926,Travers SP,Susan P Travers,Susan,P,Travers
15877233,Turpin WM,William Monroe Turpin,William,Monroe,Turpin
9733196,Uhlemann A,Anne-Catrin  Uhlemann,Anne-Catrin,,Uhlemann
77816868,Vanegas-Gamboa DC,Diana Carolina Vanegas-Gamboa,Diana,Carolina,Vanegas-Gamboa
14431376,Varsani A,Arvind  Varsani,Arvind,,Varsani
10938548,Wang K,Kai  Wang,Kai,,Wang
12225947,Wang X,Xing  Wang,Xing,,Wang
2264716,Wang Y,Yuedong  Wang,Yuedong,,Wang
8485057,Ward K,Kevin  Ward,Kevin,,Ward
77820001,Wenzel J,Jeff  Wenzel,Jeff,,Wenzel
6390810,Wong DT,David T Wong,David,T,Wong
12081117,Xie Y,Ya-Hong  Xie,Ya-Hong,,Xie
9603016,Xu H,Hua  Xu,Hua,,Xu
77861758,Yao X,Xiaohu  Yao,Xiaohu,,Yao
9445541,Young EF,Erik F Young,Erik,F,Young
9502968,Zhu D,Dongxiao  Zhu,Dongxiao,,Zhu
